frames since last update;coins collected;deaths;levels beaten;score gathered;move count (no action, left, right, jump);!world name
1000;7;3;0;20;[85, 340, 467, 108];levels/training_226.txt
1000;9;4;0;20;[140, 90, 308, 462];levels/training_1_121.txt
663;8;8;1;100;[66, 62, 440, 94];levels/training_947.txt
337;5;3;0;5;[58, 43, 181, 55];levels/training_682.txt
284;3;3;1;100;[35, 19, 181, 48];levels/training_958.txt
716;8;0;0;40;[140, 134, 356, 86];levels/training_1_122.txt
1000;4;14;0;10;[95, 110, 663, 132];levels/training_487.txt
1000;6;1;0;25;[84, 82, 720, 114];levels/training_955.txt
1000;14;21;0;0;[88, 103, 656, 153];levels/training_671.txt
732;11;7;1;100;[66, 62, 492, 111];levels/training_1_175.txt
268;1;4;0;0;[31, 20, 179, 38];levels/training_612.txt
130;5;2;1;110;[10, 11, 93, 15];levels/training_323.txt
498;5;11;1;105;[52, 56, 314, 75];levels/training_1_80.txt
340;8;4;1;105;[32, 27, 226, 54];levels/training_342.txt
32;0;1;0;0;[3, 4, 19, 6];levels/training_456.txt
877;13;11;1;100;[67, 81, 607, 121];levels/training_305.txt
123;4;0;0;20;[8, 12, 84, 19];levels/training_1_52.txt
157;5;1;1;125;[11, 17, 103, 25];levels/training_593.txt
843;7;1;0;25;[110, 78, 563, 92];levels/training_699.txt
86;3;0;1;115;[11, 8, 52, 14];levels/training_610.txt
99;3;0;1;115;[6, 7, 77, 8];levels/training_636.txt
815;2;0;0;10;[72, 80, 583, 80];levels/training_520.txt
292;1;3;1;100;[33, 38, 185, 35];levels/training_56.txt
189;2;1;1;100;[19, 17, 127, 25];levels/training_615.txt
69;4;0;1;120;[6, 5, 50, 7];levels/training_677.txt
108;2;0;1;110;[9, 13, 73, 12];levels/training_32.txt
342;1;7;0;0;[34, 39, 104, 165];levels/training_1_177.txt
1000;4;4;0;5;[104, 94, 692, 110];levels/training_484.txt
1000;11;2;0;35;[92, 81, 738, 89];levels/training_559.txt
